Águila Roja;La que tiene el mejor sabor
Almendra Tropical;La más rendidora del mercado
Bemoka;La que tiene el mejor aroma
Córdoba;La que tiene el precio más justo
Éxito;La que tiene la mejor calidad
Juan Valdez;La más representativa de mi país
JBO/Jumbo;La que más inspira a cumplir los sueños
La Bastilla;100% café colombiano
Lukafe;La más innovadora
Mariscal;La más tradicional
Matiz ;La que tiene la mejor publicidad
Medalla de Oro;La más reconocida
Morasurco;La que más apoya a la superación personal
New Colony;La mejor para compartir en familia
Olímpica;Es una marca gourmet/premium
Oma;La que mejor acompaña momentos especiales
Sello Rojo;La más natural
Viejo Molino;La mejor para compartir con mis amigos
La más apropiada para los expertos en café
La más divertida/ alegre
La que menos deja residuos y cunchos
La que ofrece mayor variedad de cafés molidos
La más experta en café molido
La que hace las mejores promociones / ofertas
La más económica
Choco Break;Tiene el sabor que más me gusta
Gol;Tiene más variedad de sabores 
Jet 12 gr;Me da las mejores cosas para coleccionar
Jet Burbujas;Tiene mayor variedad de formas y tamaños
Jet Cookies and Cream;Es la más divertida
Jet Cremosita;Es la que me gusta recibir como premio
Jet Cruji;Es mi marca preferida/favorita
Jet Gool (Balones);Es la que más le gusta a mis amigos  
Jet Leche y Calcio;Es para niños como yo
Jet Saurios;Es la que está de moda   
Jet Tricolor;Es la que me gusta que me regalen
Jet Wafer;Es la mejor para la lonchera   
Jumbo Dots;Es para comer en cualquier momento
Jumbo (Maní);La que mis papás me dejan comer
Kinder Bueno;Me enseña cosas nuevas
Kinder Sorpresa/Huevo  ; Es especial para niños
Milky Way;Es diferente de otras marcas de chocolates
Milo;Tiene personajes para los niños
M&M´s ;Es buena para compartir
Muuu;
Noggy;
Nucita ;
Roletto ;
Snickers;
Choco Break;Participa en los eventos que más me gustan
Chocolate Santander;Tiene el sabor que más me gusta
Chocolatina Choco Lyne;Es la que me da más energía
Ferrero Rocher;Es la que acostumbro consumir
Garoto ;Es la mejor para regalar
Gol;Es la marca de siempre
Golpe;Es la que más le gusta a mis amigos
